firm,investor_name,first_name,focus_area,linkedin
Andreessen Horowitz,,,,https://www.linkedin.com/company/a16z
General Catalyst,,,,https://www.linkedin.com/company/general-catalyst
Felicis Ventures,,,,https://www.linkedin.com/company/felicis-ventures
Lightspeed Venture Partners,,,,https://www.linkedin.com/company/lightspeed-venture-partners
Index Ventures,,,,https://www.linkedin.com/company/index-ventures
Flare Capital,,,,https://www.linkedin.com/company/flare-capital-partners
LRVHealth,,,,https://www.linkedin.com/company/lrvhealth
Sierra Ventures,,,,https://www.linkedin.com/company/sierra-ventures
Moonfire Ventures,,,,https://www.linkedin.com/company/moonfire
HBM Healthcare Investments,,,,https://www.linkedin.com/company/hbm-partners-ag
